RUC,NOMBRE O RAZÓN SOCIAL,ESTADO DEL CONTRIBUYENTE,CONDICIÓN DE DOMICILIO,UBIGEO,DIRECCIÓN
20516020301,CEMEX PERU S.A.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO RES. RESIDENCIAL 143
20506866473,WINIA ELECTRONICS PERÚ S.A.C. EN LIQUIDACION,ACTIVO,HABIDO,150131,AV. LAS BEGONIAS URB. JARDIN 441 9
20399253030,WEATHERFORD DEL PERU SRL,ACTIVO,HABIDO,150131,CAL. 9 URB. CORPAC 377
20131708191,AGERSA S.R.L.,ACTIVO,HABIDO,150131,CAL. ANTERO ASPILLAGA URB. EL OLIVAR 172
20504595863,PESQUERA CANTABRIA S.A.,ACTIVO,HABIDO,150131,CAL. AMADOR MERINO REYNA URB. JARDIN 339 501
20101064191,CESEL S A,ACTIVO,HABIDO,150131,AV. J GALVEZ BARRENECHEA URB. CORPAC 646
20122216145,INFORMATICA DELTA S.A.C.,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 290 71
20110345519,NEWMONT PERU S.R.L.,ACTIVO,HABIDO,150131,AV. SANTA CRUZ 120 601
20193022023,CORPORACION DEL MAR S A,ACTIVO,HABIDO,150131,AV. PAZ SOLDAN 170 701
20302091766,ESMETAL S.A.C.,ACTIVO,HABIDO,150131,CAL. GERMAN SCHREIBER URB. SANTA ANA 276
20101145868,TECNICAS METALICAS INGENIEROS SOCIEDAD ANONIMA CERRADA EN LIQUIDACION,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 441 PI 9
20512896252,OLAM AGRO PERÚ S.A.C.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA PRINCIPAL 155 147 502
20332473388,PVEP-PERENCO PERU LIMITED\, SUCURSAL DEL PERU,ACTIVO,HABIDO,150131,CAL. LAS ORQUIDEAS URB. JARDIN 585 13
20265681299,EQUIFAX PERU S.A.,ACTIVO,HABIDO,150131,CAL. CHINCHON 1018
20332970411,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA OTR. CENTRO EMPRESARIAL SAN IS 830
20329973256,SCHLUMBERGER DEL PERU S.A.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO 143 28
20301494590,PISOPAK PERU S.R.L.,ACTIVO,HABIDO,150131,AV. CANAVAL Y MOREYRA 555
20101085199,SCHROTH CORPORACION PAPELERA S.A.C.,ACTIVO,HABIDO,150131,JR. LUIS FELIPE VILLARAN URB. CHACARILLA SANTA CRUZ 315
20506766762,SONATRACH PERU CORPORATION S.A.C.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO GRU. TORRE REAL 08 173 1302
20502257987,CORPORACION VEGA S.A.C.,ACTIVO,HABIDO,150131,AV. JAVIER PRADO ESTE URB. CORPAC 1372
20377294778,JOHNSON CONTROLS PERU S.R.L.,ACTIVO,HABIDO,150131,AV. SANTO TORIBIO 143
20516711559,BANCO SANTANDER PERU S.A.,ACTIVO,HABIDO,150131,AV. RICARDO RIVERA NAVARRETE URB. JARDIN 475 14
20373697720,GRUPO REPSOL DEL PERU S.A.C.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA REAL 185\, EDIFICIO RE 147
20374041011,TETRA PAK S.A.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE GROHMANN URB. ORRANTIA 347 06W-
20101039910,ONCOSALUD S.A.C.,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA 3461 14
20378813761,BRISTOL-MYERS SQUIBB PERU S.A.,ACTIVO,HABIDO,150131,AV. JORGE BASADRE 607
20304177552,PLUSPETROL PERU CORPORATION S.A.,ACTIVO,HABIDO,150131,CAL. LAS BEGONIAS 415
20126702737,COMPAñIA MINERA CARAVELI S.A.C.,ACTIVO,HABIDO,150131,AV. PABLO CARRIQUIRRY URB. URB. EL PALOMAR SAN ISIDR 691
20100120403,CONSORCIO NAVIERO PERUANO S A,ACTIVO,HABIDO,150131,CAL. DEAN VALDIVIA URB. JARDIN 148
20131016639,ORICA MINING SERVICES PERU S.A.,ACTIVO,HABIDO,150131,AV. DIONISIO DERTEANO URB. SANTA ANA 144 1901
20264846855,CLOROX PERU S.A.,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE URB. EL ROSARIO 332 301
20100127912,CARGILL AMERICAS PERU S.R.L.,ACTIVO,HABIDO,150131,CAL. CALLE CHINCHÓN 1018 P11
20506913811,COLUMBIA HELICOPTERS PERU S.A.C.,ACTIVO,HABIDO,150131,AV. LAS CAMELIAS URB. SANTA CRUZ 877 302
20458605662,FONDO NACIONAL DE FINANCIAMIENTO DE LA A CTIVIDAD EMPRESARIAL DEL ESTADO - FONAFE O FONAFE,ACTIVO,HABIDO,150131,AV. PASEO DE LA REPUBLICA 3121
20100963834,CIA ERICSSON S.A.,ACTIVO,HABIDO,150131,AV. JUAN DE ARONA 151 604
20380122317,STANTEC PERU S.A.,ACTIVO,HABIDO,150131,AV. CONQUISTADORES 638 401
